date,casosNovos,casosAcumulados,localidade,obitosNovos,obitosAcumulados
2020-05-02,0,72,DSBV,0.0,4.0
2020-05-02,0,52,DSCJ,1.0,3.0
2020-05-02,0,40,DSPN,0.0,2.0
2020-05-02,1,68,DSBQ,1.0,5.0
2020-05-02,0,7,DSTQ,0.0,0.0
2020-05-02,5,107,DSPR,0.0,3.0
2020-05-02,2,145,DSMZ,0.0,6.0
2020-05-03,3,105,DSSF,0.0,1.0
2020-05-03,0,30,DSBN,0.0,0.0
2020-05-03,1,73,DSBV,0.0,4.0
2020-05-03,1,53,DSCJ,0.0,3.0
2020-05-03,0,7,DSTQ,0.0,0.0
2020-05-03,0,40,DSCIC,0.0,1.0
2020-05-03,0,68,DSBQ,0.0,5.0
2020-05-03,0,107,DSPR,1.0,4.0
2020-05-03,5,672,Curitiba,1.0,26.0
2020-05-03,0,145,DSMZ,0.0,6.0
2020-05-03,0,40,DSPN,0.0,2.0
2020-05-04,2,75,DSBV,0.0,4.0
2020-05-04,1,41,DSPN,0.0,2.0
2020-05-04,0,40,DSCIC,0.0,1.0
2020-05-04,1,31,DSBN,0.0,0.0
2020-05-04,1,8,DSTQ,0.0,0.0
2020-05-04,2,70,DSBQ,0.0,5.0
2020-05-04,18,690,Curitiba,0.0,26.0
2020-05-04,2,55,DSCJ,0.0,3.0
2020-05-04,0,107,DSPR,0.0,4.0
2020-05-04,4,109,DSSF,0.0,1.0
2020-05-04,5,150,DSMZ,0.0,6.0
2020-05-05,1,32,DSBN,0.0,0.0
2020-05-05,0,109,DSSF,0.0,1.0
2020-05-05,0,55,DSCJ,0.0,3.0
2020-05-05,5,112,DSPR,0.0,4.0
2020-05-05,0,8,DSTQ,0.0,0.0
2020-05-05,20,710,Curitiba,0.0,26.0
2020-05-05,5,80,DSBV,0.0,4.0
2020-05-05,3,43,DSCIC,0.0,1.0
2020-05-05,6,156,DSMZ,0.0,6.0
2020-05-05,0,70,DSBQ,0.0,5.0
2020-05-05,0,41,DSPN,0.0,2.0
2020-05-06,4,160,DSMZ,1.0,7.0
2020-05-06,5,117,DSPR,0.0,4.0
2020-05-06,0,8,DSTQ,0.0,0.0
2020-05-06,2,45,DSCIC,0.0,1.0
